,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
-4.0,4504.80277329,40519.9649911,108863.924756,8.98439510215e-06,8.02736424116e-05,0.000211269951982,8.98439510215e-10,8.02736424116e-10,2.11269951982e-12
-3.8,4504.8011175,40519.9298418,108863.674134,8.98439211756e-06,8.02735795784e-05,0.000211269943351,1.42393019055e-09,1.27225049808e-09,3.34840294988e-12
-3.6,4504.79895367,40519.8840151,108863.347382,8.98438821722e-06,8.02734976581e-05,0.000211269932172,2.25677628583e-09,2.01637909577e-09,5.30686076008e-12
-3.4,4504.79612463,40519.8242396,108862.921174,8.98438311781e-06,8.0273390803e-05,0.000211269917687,3.5767473422e-09,3.19574124833e-09,8.41080691534e-12
-3.2,4504.79242412,40519.7462333,108862.364979,8.98437644758e-06,8.02732513583e-05,0.000211269898911,5.66875830517e-09,5.06489975099e-09,1.33302294385e-11
-3.0,4504.78758148,40519.6443886,108861.638817,8.98436771861e-06,8.02730692998e-05,0.000211269874562,8.98436771861e-09,8.02730692998e-09,2.11269874562e-11
-2.8,4504.78124125,40519.5113583,108860.690305,8.98435629024e-06,8.02728314936e-05,0.000211269842973,1.4239245123e-08,1.27223864174e-08,3.34840135901e-11
-2.6,4504.77293652,40519.3375123,108859.450787,8.9843413208e-06,8.02725207249e-05,0.000211269801974,2.25676450598e-08,2.01635455632e-08,5.30685748967e-11
-2.4,4504.76205363,40519.1102221,108857.830229,8.98432170417e-06,8.02721144186e-05,0.000211269748738,3.57672289299e-08,3.19569043455e-08,8.41080018938e-11
-2.2,4504.74778576,40518.81292,108855.710523,8.98429598604e-06,8.02715829582e-05,0.000211269679583,5.66870753738e-08,5.06479448205e-08,1.33302155999e-10
-2.0,4504.72907166,40518.423861,108852.936658,8.9842622535e-06,8.0270887472e-05,0.000211269589709,8.9842622535e-08,8.0270887472e-08,2.11269589709e-10
-1.8,4504.70451489,40517.9144928,108849.305112,8.98421798942e-06,8.0269976919e-05,0.000211269472855,1.4239025931e-07,1.27219339978e-07,3.34839549302e-10
-1.6,4504.67227719,40517.2473085,108844.548558,8.98415988028e-06,8.02687842514e-05,0.000211269320853,2.25671893018e-07,2.01626070035e-07,5.30684540446e-10
-1.4,4504.62993775,40516.3730189,108838.315733,8.98408356249e-06,8.02672213577e-05,0.000211269123044,3.57662808708e-07,3.19549563829e-07,8.41077528002e-10
-1.2,4504.57430736,40515.226824,108830.144907,8.98398328744e-06,8.02651723996e-05,0.000211268865503,5.6685102379e-07,5.06439000315e-07,1.33301642349e-09
-1.0,4504.501183,40513.7234999,108819.428941,8.98385147901e-06,8.0262485027e-05,0.000211268530039,8.98385147901e-07,8.0262485027e-07,2.11268530039e-09
