,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
-4.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307e-10,8.02738510184e-10,2.11269981435e-12
-3.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1.4239322185e-09,1.27225480012e-09,3.34840355347e-12
-3.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2.25678047963e-09,2.01638797178e-09,5.30686199751e-12
-3.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3.57675601905e-09,3.19575956984e-09,8.41080945318e-12
-3.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5.66877626568e-09,5.06493758698e-09,1.33302346454e-11
-3.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307e-09,8.02738510184e-09,2.11269981435e-11
-2.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1.4239322185e-08,1.27225480012e-08,3.34840355347e-11
-2.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2.25678047963e-08,2.01638797178e-08,5.30686199751e-11
-2.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3.57675601905e-08,3.19575956984e-08,8.41080945318e-11
-2.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5.66877626568e-08,5.06493758698e-08,1.33302346454e-10
-2.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307e-08,8.02738510184e-08,2.11269981435e-10
-1.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1.4239322185e-07,1.27225480012e-07,3.34840355347e-10
-1.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2.25678047963e-07,2.01638797178e-07,5.30686199751e-10
-1.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3.57675601905e-07,3.19575956984e-07,8.41080945318e-10
